Ino,State,flag,transaction,time elapsed,culmulative time elapsed
274245,7,1,639795.2655150353,1.563e-06,0.004572022000000001
274245,7,1,104843.7827636821,9.538e-06,0.004581560000000001
274245,7,4,46251.329725729614,2.1621e-05,0.004603181000000001
274245,7,4,58200.44232336166,1.7182e-05,0.0046203630000000015
274088,7,1,576701.2687427913,1.734e-06,0.004622097000000001
274088,7,1,831946.7554076539,1.202e-06,0.004623299000000001
274088,7,1,138831.04262113007,7.203e-06,0.004630502000000001
274088,7,7,292654.37518290896,3.417e-06,0.004633919000000001
274088,7,7,2857142.8571428573,3.5e-07,0.004634269000000001
274245,7,4,1488095.238095238,6.72e-07,0.004634941000000001
274088,7,7,780031.20124805,1.282e-06,0.004636223000000001
274245,7,4,346500.3465003465,2.886e-06,0.004639109000000001
274245,7,4,226860.2540834846,4.408e-06,0.004643517000000001
274245,7,4,255950.8574353724,3.907e-06,0.004647424000000001
274245,7,4,27872.23368080718,3.5878e-05,0.004683302
274245,7,4,179179.35853789645,5.581e-06,0.0046888830000000005
274245,7,4,214224.50728363325,4.668e-06,0.004693551000000001
274245,7,4,118539.59222380274,8.436e-06,0.004701987
274245,7,4,211461.1968703743,4.729e-06,0.0047067160000000005
274245,7,4,245821.04228121927,4.068e-06,0.004710784000000001
46136,7,1,87.30171271119049,0.011454529,0.016165313
46136,7,1,557724.4841048522,1.793e-06,0.016167106
46136,7,1,1018329.9389002036,9.82e-07,0.016168088
46136,7,1,29718.565187672735,3.3649e-05,0.016201737
46136,7,1,557724.4841048522,1.793e-06,0.01620353
46136,7,1,1782531.1942959002,5.61e-07,0.016204091
70417,7,1,375.112768275963,0.002665865,0.018869956
70417,7,1,1096491.2280701755,9.12e-07,0.018870868
70417,7,1,2079002.0790020789,4.81e-07,0.018871349
70417,7,1,164149.70453053183,6.092e-06,0.018877441
70417,7,1,2631578.947368421,3.8e-07,0.018877821
70417,7,1,2932551.319648094,3.41e-07,0.018878162
1162,1,1,4609.696958521947,0.000216934,0.019095096
1162,1,1,899280.5755395684,1.112e-06,0.019096208
1162,1,1,1109877.9134295227,9.01e-07,0.019097109
1162,1,1,25891.308287807784,3.8623e-05,0.019135732000000003
1162,1,1,2375296.912114014,4.21e-07,0.019136153000000003
1162,1,1,2557544.757033248,3.91e-07,0.019136544000000002
274091,7,1,1777.1395872060168,0.000562702,0.019699246000000004
274091,7,1,723065.7989877079,1.383e-06,0.019700629000000004
274091,7,1,73496.98662354844,1.3606e-05,0.019714235000000004
274091,7,7,196116.88566385568,5.099e-06,0.019719334000000005
274091,7,7,2169197.3969631237,4.61e-07,0.019719795000000005
274091,7,7,466417.9104477612,2.144e-06,0.019721939000000004
274245,7,1,16925.62878710944,5.9082e-05,0.019781021000000003
274245,7,1,506842.3720223011,1.973e-06,0.019782994
274245,7,1,139977.60358342665,7.144e-06,0.019790138000000002
274245,7,4,154273.372415921,6.482e-06,0.01979662
274245,7,4,77857.36530675802,1.2844e-05,0.019809464000000002
46136,7,1,165.91416298046875,0.006027213,0.025836677000000002
46136,7,1,439753.7379067722,2.274e-06,0.025838951000000002
46136,7,1,811030.0081103,1.233e-06,0.025840184000000002
46136,7,1,26705.835224996663,3.7445e-05,0.025877629000000003
46136,7,1,767459.7083653108,1.303e-06,0.025878932000000004
46136,7,1,1721170.395869191,5.81e-07,0.025879513000000003
274245,7,1,113.56240611937838,0.008805731,0.034685244000000004
274245,7,1,576701.2687427913,1.734e-06,0.03468697800000001
274245,7,1,119118.52293031567,8.395e-06,0.03469537300000001
274088,7,1,204498.97750511247,4.89e-06,0.03470026300000001
274245,7,4,4166666.666666667,2.4e-07,0.03470050300000001
274088,7,1,1636661.2111292963,6.11e-07,0.034701114000000005
274088,7,1,168038.98504453033,5.951e-06,0.034707065
274088,7,7,275709.95312930795,3.627e-06,0.034710692
274088,7,7,2695417.7897574124,3.71e-07,0.034711063
274088,7,7,577034.0450086555,1.733e-06,0.034712796
274245,7,4,1008064.5161290322,9.92e-07,0.034713787999999995
274245,7,4,225275.96305474205,4.439e-06,0.034718227
274245,7,4,17678.464095039424,5.6566e-05,0.034774793
274245,7,4,147645.06127270043,6.773e-06,0.034781566
274245,7,4,78839.48281299275,1.2684e-05,0.03479425
274245,7,4,97380.46547862499,1.0269e-05,0.034804519
274245,7,4,39717.21344030503,2.5178e-05,0.034829697
274245,7,4,55853.44057193923,1.7904e-05,0.034847601
274245,7,4,252079.65717166621,3.967e-06,0.034851568
274245,7,4,222766.76319893074,4.489e-06,0.034856057
274245,7,4,264760.39184537996,3.777e-06,0.034859834000000006
274245,7,4,194590.38723487058,5.139e-06,0.03486497300000001
274245,7,4,214638.334406525,4.659e-06,0.034869632000000005
46136,7,1,94.1071867682284,0.010626181,0.045495813
46136,7,1,455788.5141294439,2.194e-06,0.045498007
46136,7,1,968992.2480620155,1.032e-06,0.045499039
46136,7,1,21509.076830422437,4.6492e-05,0.045545531
46136,7,1,798084.5969672786,1.253e-06,0.045546784
46136,7,1,1883239.1713747648,5.31e-07,0.045547315
46136,7,1,1528.2014291739765,0.000654364,0.046201678999999996
46136,7,1,656598.8181221273,1.523e-06,0.046203202
46136,7,1,1814882.0326678767,5.51e-07,0.046203753
46136,7,1,36209.581055147195,2.7617e-05,0.04623137
46136,7,1,941619.5856873824,1.062e-06,0.046232432000000004
