Ino,State,flag,transaction,time elapsed,culmulative time elapsed
8388610,4,4,283527.07683583786,3.527e-06,0.010959795999999997
8388610,4,4,639795.2655150353,1.563e-06,0.010961358999999997
8388610,4,4,899280.5755395684,1.112e-06,0.010962470999999996
8388610,4,4,1050420.168067227,9.52e-07,0.010963422999999996
8388610,4,4,1074113.8560687434,9.31e-07,0.010964353999999996
8388610,4,4,899280.5755395684,1.112e-06,0.010965465999999995
8388610,4,4,838222.9673093043,1.193e-06,0.010966658999999995
8388610,4,4,652315.7208088716,1.533e-06,0.010968191999999995
8388610,4,4,1085776.3300760044,9.21e-07,0.010969112999999994
8388610,4,4,447627.57385854964,2.234e-06,0.010971346999999994
8388610,4,4,1061571.1252653927,9.42e-07,0.010972288999999994
8388610,4,4,1072961.373390558,9.32e-07,0.010973220999999995
8388610,4,4,1096491.2280701755,9.12e-07,0.010974132999999995
8388610,4,4,1097694.840834248,9.11e-07,0.010975043999999995
8388610,4,4,583430.5717619603,1.714e-06,0.010976757999999994
8388610,4,4,412541.25412541255,2.424e-06,0.010979181999999994
8388610,4,4,1050420.168067227,9.52e-07,0.010980133999999994
8388610,4,4,998003.992015968,1.002e-06,0.010981135999999994
8388610,4,4,1133786.8480725624,8.82e-07,0.010982017999999994
8388610,4,4,728862.9737609329,1.372e-06,0.010983389999999994
8388610,4,4,627746.3904582548,1.593e-06,0.010984982999999993
131708,32,1,10941.996476677134,9.1391e-05,0.011076373999999993
131708,32,1,1072961.373390558,9.32e-07,0.011077305999999993
131708,32,1,717875.0897343862,1.393e-06,0.011078698999999994
8388610,4,4,2831.0486770509533,0.000353226,0.011431924999999994
8388610,4,4,378071.83364839316,2.645e-06,0.011434569999999995
8388610,4,4,648088.1399870382,1.543e-06,0.011436112999999994
131708,0,7,9386.850899260317,0.000106532,0.011542644999999994
131708,0,7,1297016.8612191959,7.71e-07,0.011543415999999994
131708,0,7,608642.7267194157,1.643e-06,0.011545058999999995
131708,7,4,55481.58011540169,1.8024e-05,0.011563082999999995
136346,39,1,1624.2704995119068,0.000615661,0.012178743999999995
136346,39,1,1663893.5108153077,6.01e-07,0.012179344999999994
136346,39,1,702740.6886858749,1.423e-06,0.012180767999999995
274245,7,1,700.4655293908332,0.001427622,0.013608389999999995
274245,7,1,1385041.5512465374,7.22e-07,0.013609111999999994
274088,7,1,447627.57385854964,2.234e-06,0.013611345999999995
274088,7,1,1297016.8612191959,7.71e-07,0.013612116999999995
274245,7,1,257201.64609053498,3.888e-06,0.013616004999999995
274088,7,1,402576.4895330113,2.484e-06,0.013618488999999996
274245,7,4,702740.6886858749,1.423e-06,0.013619911999999996
274088,7,7,601322.9104028863,1.663e-06,0.013621574999999997
274088,7,7,2695417.7897574124,3.71e-07,0.013621945999999998
274088,7,7,577034.0450086555,1.733e-06,0.013623678999999998
274245,7,4,69070.31357922366,1.4478e-05,0.013638156999999998
274245,7,4,77495.35027898326,1.2904e-05,0.013651060999999997
274245,7,4,241662.63895601738,4.138e-06,0.013655198999999998
274245,7,4,264760.39184537996,3.777e-06,0.013658975999999998
274245,7,4,207943.43938448743,4.809e-06,0.013663784999999998
274245,7,4,206228.0882656218,4.849e-06,0.013668633999999997
274245,7,4,133797.16350013379,7.474e-06,0.013676107999999998
274245,7,4,242248.06201550388,4.128e-06,0.013680235999999998
274245,7,4,60309.99336590073,1.6581e-05,0.013696816999999998
64225,7,1,83.87706641637749,0.01192221,0.025619027
64225,7,1,551267.9162072768,1.814e-06,0.025620841
64225,7,1,2127659.574468085,4.7e-07,0.025621310999999997
64225,7,1,177273.5330615139,5.641e-06,0.025626951999999998
64225,7,1,2849002.849002849,3.51e-07,0.025627302999999997
64225,7,1,3030303.0303030303,3.3e-07,0.025627632999999997
1162,1,1,4814.96104696513,0.000207686,0.025835318999999995
1162,1,1,978473.5812133073,1.022e-06,0.025836340999999995
1162,1,1,2036659.8778004071,4.91e-07,0.025836831999999994
1162,1,1,28730.678618628972,3.4806e-05,0.025871637999999992
1162,1,1,2493765.5860349126,4.01e-07,0.025872038999999993
1162,1,1,2857142.8571428573,3.5e-07,0.025872388999999992
274091,7,1,2962.015118125163,0.000337608,0.026209996999999992
274091,7,1,798722.0447284345,1.252e-06,0.026211248999999992
274091,7,1,107319.1672032625,9.318e-06,0.026220566999999993
274091,7,7,313873.1952291274,3.186e-06,0.026223752999999992
274091,7,7,2857142.8571428573,3.5e-07,0.02622410299999999
274091,7,7,597371.5651135006,1.674e-06,0.026225776999999992
274245,7,1,53262.31691078562,1.8775e-05,0.02624455199999999
274245,7,1,883392.22614841,1.132e-06,0.02624568399999999
274245,7,1,182149.36247723133,5.49e-06,0.02625117399999999
274245,7,4,237642.5855513308,4.208e-06,0.02625538199999999
274088,7,1,51.71942254644094,0.019335096,0.04559047799999999
274088,7,1,294464.0753828033,3.396e-06,0.04559387399999999
274088,7,1,85675.11994516793,1.1672e-05,0.04560554599999999
274088,7,7,146563.09541257512,6.823e-06,0.04561236899999999
274088,7,7,2932551.319648094,3.41e-07,0.045612709999999994
274088,7,7,639795.2655150353,1.563e-06,0.045614273
274245,7,1,9781.67305735973,0.000102232,0.045716505
274245,7,1,1692047.377326565,5.91e-07,0.045717096
274245,7,1,251382.6043237808,3.978e-06,0.045721074
274245,7,4,209248.79681941826,4.779e-06,0.045725853000000004
274245,7,4,113288.7730825875,8.827e-06,0.04573468000000001
274245,7,4,235404.8964218456,4.248e-06,0.045738928000000005
274245,7,4,60860.56843770921,1.6431e-05,0.045755359
274245,7,4,67576.69955399378,1.4798e-05,0.045770157000000006
274245,7,4,84373.94532568344,1.1852e-05,0.045782009000000005
274245,7,4,37878.78787878788,2.64e-05,0.04580840900000001
274245,7,4,59449.497651744845,1.6821e-05,0.04582523000000001
274245,7,4,244618.39530332683,4.088e-06,0.04582931800000001
274245,7,4,245821.04228121927,4.068e-06,0.04583338600000001
274245,7,4,265463.2333421821,3.767e-06,0.04583715300000001
274245,7,4,179533.21364452425,5.57e-06,0.045842723000000016
274245,7,4,189035.91682419658,5.29e-06,0.045848013000000014
217,1,1,8.841922952013912,0.11309757,0.158945583
217,1,1,665778.9613848203,1.502e-06,0.158947085
217,1,1,1919385.7965451058,5.21e-07,0.158947606
217,1,1,122910.52114060964,8.136e-06,0.15895574199999998
217,1,1,2702702.7027027025,3.7e-07,0.15895611199999998
217,1,1,3021148.0362537764,3.31e-07,0.15895644299999998
131268,7,1,40.017899205956844,0.024988818,0.18394526099999997
131268,7,1,447427.2930648769,2.235e-06,0.18394749599999996
131268,7,1,85822.17645039478,1.1652e-05,0.18395914799999996
64235,7,1,83.91991254202394,0.011916123,0.19587527099999996
