Ino,State,flag,transaction,time elapsed,culmulative time elapsed
131274,5,4,2364.2115118186935,0.000422974,0.000422974
136200,0,1,4169.446297531687,0.00023984,0.0006628140000000001
136200,0,1,548245.6140350878,1.824e-06,0.0006646380000000001
136200,0,1,94975.78117580016,1.0529e-05,0.0006751670000000001
136200,1,4,33148.80498558027,3.0167e-05,0.0007053340000000001
136200,5,7,1050420.168067227,9.52e-07,0.0007062860000000001
136200,5,7,2079002.0790020789,4.81e-07,0.0007067670000000001
136200,5,7,376647.83427495294,2.655e-06,0.000709422
136200,7,1,21888.543536313093,4.5686e-05,0.000755108
136200,7,1,1692047.377326565,5.91e-07,0.000755699
136200,7,1,604960.6775559589,1.653e-06,0.000757352
131274,5,4,24651.18572203323,4.0566e-05,0.000797918
136200,7,4,2164.703641247995,0.000461957,0.001259875
136200,7,7,831946.7554076539,1.202e-06,0.001261077
136200,7,7,1633986.928104575,6.12e-07,0.001261689
136200,7,7,213310.58020477818,4.688e-06,0.0012663770000000002
136200,7,1,47619.04761904762,2.1e-05,0.0012873770000000001
136200,7,1,1560062.4024961,6.41e-07,0.0012880180000000001
136200,7,1,430292.59896729776,2.324e-06,0.001290342
136200,7,4,2368.1362530874576,0.000422273,0.001712615
136200,7,7,733675.7153338225,1.363e-06,0.0017139780000000001
136200,7,7,1406469.7609001407,7.11e-07,0.0017146890000000001
136200,7,7,179211.46953405018,5.58e-06,0.0017202690000000002
136200,7,1,44537.478287979335,2.2453e-05,0.0017427220000000002
136200,7,1,1751313.4851138354,5.71e-07,0.0017432930000000001
136200,7,1,470809.7928436912,2.124e-06,0.0017454170000000002
131274,5,4,108.125022368364,0.009248553,0.01099397
131274,5,1,36548.371770037644,2.7361e-05,0.011021331
131274,5,1,750187.5468867217,1.333e-06,0.011022664
131274,5,1,55358.724534986715,1.8064e-05,0.011040728
131274,5,4,1714.5747425994668,0.000583235,0.011623963
131274,5,4,1244.356841722787,0.000803628,0.012427591
131274,5,4,1533.7093988779382,0.000652014,0.013079605
131274,5,4,2318.2492581602373,0.00043136,0.013510965
131274,5,4,1676.2492247347334,0.00059657,0.014107535
131274,5,4,2086.467381212196,0.000479279,0.014586814
131274,5,1,76481.83556405354,1.3075e-05,0.014599889
131274,5,1,798722.0447284345,1.252e-06,0.014601141
131274,5,1,59840.82340973012,1.6711e-05,0.014617852
131274,5,4,2387.8772249046046,0.000418782,0.015036634
131274,5,4,2061.3838894603505,0.000485111,0.015521745
131274,5,4,2215.07000728758,0.000451453,0.015973198
131274,5,4,3217.3686428817327,0.000310813,0.016284011
131274,5,4,2037.9839447624834,0.000490681,0.016774692
131274,5,4,2304.1740112213274,0.000433995,0.017208687
131274,5,4,3305.588427796032,0.000302518,0.017511205000000002
131274,5,4,3084.0496038538286,0.000324249,0.017835454
131274,5,4,2627.126659030485,0.000380644,0.018216098
131274,5,4,2314.059531495507,0.000432141,0.018648239
131274,5,1,95057.03422053232,1.052e-05,0.018658759
